idTemps,jour,jour_semaine,mois,annee
1,6,Saturday,1,2000
2,0,Sunday,1,2000
3,1,Monday,1,2000
4,2,Tuesday,1,2000
5,3,Wednesday,1,2000
6,4,Thursday,1,2000
7,2,Tuesday,2,2000
8,3,Wednesday,2,2000
9,4,Thursday,2,2000
10,6,Saturday,2,2000
11,0,Sunday,2,2000
12,1,Monday,2,2000
13,3,Wednesday,3,2000
14,4,Thursday,3,2000
15,5,Friday,3,2000
16,6,Saturday,3,2000
17,0,Sunday,3,2000
18,1,Monday,3,2000
19,2,Tuesday,3,2000
20,6,Saturday,4,2000
21,0,Sunday,4,2000
22,1,Monday,4,2000
23,2,Tuesday,4,2000
24,3,Wednesday,4,2000
25,4,Thursday,4,2000
26,5,Friday,4,2000
27,1,Monday,5,2000
28,2,Tuesday,5,2000
29,3,Wednesday,5,2000
30,4,Thursday,5,2000
31,5,Friday,5,2000
32,6,Saturday,5,2000
33,0,Sunday,5,2000
34,4,Thursday,6,2000
35,5,Friday,6,2000
36,6,Saturday,6,2000
37,0,Sunday,6,2000
38,1,Monday,6,2000
39,2,Tuesday,6,2000
40,3,Wednesday,6,2000
41,1,Monday,7,2000
42,2,Tuesday,7,2000
43,3,Wednesday,7,2000
44,4,Thursday,7,2000
45,5,Friday,7,2000
46,2,Tuesday,8,2000
47,3,Wednesday,8,2000
48,4,Thursday,8,2000
49,5,Friday,8,2000
50,6,Saturday,8,2000
51,1,Monday,8,2000
52,5,Friday,9,2000
53,6,Saturday,9,2000
54,1,Monday,9,2000
55,2,Tuesday,9,2000
56,3,Wednesday,9,2000
57,4,Thursday,9,2000
58,1,Monday,10,2000
59,2,Tuesday,10,2000
60,3,Wednesday,10,2000
61,4,Thursday,10,2000
62,5,Friday,10,2000
63,6,Saturday,10,2000
64,3,Wednesday,11,2000
65,4,Thursday,11,2000
66,5,Friday,11,2000
67,6,Saturday,11,2000
68,1,Monday,11,2000
69,2,Tuesday,11,2000
70,5,Friday,12,2000
71,6,Saturday,12,2000
72,1,Monday,12,2000
73,2,Tuesday,12,2000
74,3,Wednesday,12,2000
75,4,Thursday,12,2000
